question,answer
"Je veux les vidéos de cours ne se lancent pas, comment faire ?","Vérifiez le débit, changez de navigateur, autorisez le lecteur, désactivez les bloqueurs et essayez une résolution plus basse. Si besoin, contactez le support."
"Aide : les vidéos de cours ne se lancent pas, s'il vous plaît. ?","Vérifiez le débit, changez de navigateur, autorisez le lecteur, désactivez les bloqueurs et essayez une résolution plus basse. Si besoin, contactez le support."
Comment procéder pour les vidéos de cours ne se lancent pas ?,"Vérifiez le débit, changez de navigateur, autorisez le lecteur, désactivez les bloqueurs et essayez une résolution plus basse. Si besoin, contactez le support."
Comment soumettre un devoir en ligne ?,"Ouvrez l’activité, respectez le format demandé (PDF/ZIP…), téléversez le fichier puis validez l’envoi. Vérifiez le message de confirmation."
Procédure pour comment soumettre un devoir en ligne ?,"Ouvrez l’activité, respectez le format demandé (PDF/ZIP…), téléversez le fichier puis validez l’envoi. Vérifiez le message de confirmation."
Quelles sont les étapes pour comment soumettre un devoir en ligne ?,"Ouvrez l’activité, respectez le format demandé (PDF/ZIP…), téléversez le fichier puis validez l’envoi. Vérifiez le message de confirmation."
"Je veux comment soumettre un devoir en ligne, comment faire ?","Ouvrez l’activité, respectez le format demandé (PDF/ZIP…), téléversez le fichier puis validez l’envoi. Vérifiez le message de confirmation."
"Aide : comment soumettre un devoir en ligne, s'il vous plaît. ?","Ouvrez l’activité, respectez le format demandé (PDF/ZIP…), téléversez le fichier puis validez l’envoi. Vérifiez le message de confirmation."
Comment procéder pour comment soumettre un devoir en ligne ?,"Ouvrez l’activité, respectez le format demandé (PDF/ZIP…), téléversez le fichier puis validez l’envoi. Vérifiez le message de confirmation."
Comment gérer mon emploi du temps ?,"Consultez l’emploi du temps publié par le département, synchronisez‑le à votre agenda et prévoyez des plages de révision régulières."
Procédure pour comment gérer mon emploi du temps ?,"Consultez l’emploi du temps publié par le département, synchronisez‑le à votre agenda et prévoyez des plages de révision régulières."
Quelles sont les étapes pour comment gérer mon emploi du temps ?,"Consultez l’emploi du temps publié par le département, synchronisez‑le à votre agenda et prévoyez des plages de révision régulières."
"Je veux comment gérer mon emploi du temps, comment faire ?","Consultez l’emploi du temps publié par le département, synchronisez‑le à votre agenda et prévoyez des plages de révision régulières."
"Aide : comment gérer mon emploi du temps, s'il vous plaît. ?","Consultez l’emploi du temps publié par le département, synchronisez‑le à votre agenda et prévoyez des plages de révision régulières."
Comment procéder pour comment gérer mon emploi du temps ?,"Consultez l’emploi du temps publié par le département, synchronisez‑le à votre agenda et prévoyez des plages de révision régulières."
Comment demander une séance de rattrapage ?,"Écrivez à l’enseignant avec un motif précis, proposez des créneaux et tenez compte des contraintes de salle et de disponibilité."
Procédure pour comment demander une séance de rattrapage ?,"Écrivez à l’enseignant avec un motif précis, proposez des créneaux et tenez compte des contraintes de salle et de disponibilité."
Quelles sont les étapes pour comment demander une séance de rattrapage ?,"Écrivez à l’enseignant avec un motif précis, proposez des créneaux et tenez compte des contraintes de salle et de disponibilité."
"Je veux comment demander une séance de rattrapage, comment faire ?","Écrivez à l’enseignant avec un motif précis, proposez des créneaux et tenez compte des contraintes de salle et de disponibilité."
"Aide : comment demander une séance de rattrapage, s'il vous plaît. ?","Écrivez à l’enseignant avec un motif précis, proposez des créneaux et tenez compte des contraintes de salle et de disponibilité."
Comment procéder pour comment demander une séance de rattrapage ?,"Écrivez à l’enseignant avec un motif précis, proposez des créneaux et tenez compte des contraintes de salle et de disponibilité."
Comment trouver un stage et obtenir une convention ?,"Ciblez des structures pertinentes, préparez CV/lettre, postulez, puis demandez la convention au service compétent. Respectez les délais administratifs."
Procédure pour comment trouver un stage et obtenir une convention ?,"Ciblez des structures pertinentes, préparez CV/lettre, postulez, puis demandez la convention au service compétent. Respectez les délais administratifs."
Quelles sont les étapes pour comment trouver un stage et obtenir une convention ?,"Ciblez des structures pertinentes, préparez CV/lettre, postulez, puis demandez la convention au service compétent. Respectez les délais administratifs."
"Je veux comment trouver un stage et obtenir une convention, comment faire ?","Ciblez des structures pertinentes, préparez CV/lettre, postulez, puis demandez la convention au service compétent. Respectez les délais administratifs."
"Aide : comment trouver un stage et obtenir une convention, s'il vous plaît. ?","Ciblez des structures pertinentes, préparez CV/lettre, postulez, puis demandez la convention au service compétent. Respectez les délais administratifs."
Comment procéder pour comment trouver un stage et obtenir une convention ?,"Ciblez des structures pertinentes, préparez CV/lettre, postulez, puis demandez la convention au service compétent. Respectez les délais administratifs."
Comment emprunter un livre à la bibliothèque ?,"Inscrivez‑vous au service, recherchez l’ouvrage, vérifiez sa disponibilité puis effectuez l’emprunt selon les règles (durée, renouvellement, pénalités)."
Procédure pour comment emprunter un livre à la bibliothèque ?,"Inscrivez‑vous au service, recherchez l’ouvrage, vérifiez sa disponibilité puis effectuez l’emprunt selon les règles (durée, renouvellement, pénalités)."
Quelles sont les étapes pour comment emprunter un livre à la bibliothèque ?,"Inscrivez‑vous au service, recherchez l’ouvrage, vérifiez sa disponibilité puis effectuez l’emprunt selon les règles (durée, renouvellement, pénalités)."
"Je veux comment emprunter un livre à la bibliothèque, comment faire ?","Inscrivez‑vous au service, recherchez l’ouvrage, vérifiez sa disponibilité puis effectuez l’emprunt selon les règles (durée, renouvellement, pénalités)."
"Aide : comment emprunter un livre à la bibliothèque, s'il vous plaît. ?","Inscrivez‑vous au service, recherchez l’ouvrage, vérifiez sa disponibilité puis effectuez l’emprunt selon les règles (durée, renouvellement, pénalités)."
Comment procéder pour comment emprunter un livre à la bibliothèque ?,"Inscrivez‑vous au service, recherchez l’ouvrage, vérifiez sa disponibilité puis effectuez l’emprunt selon les règles (durée, renouvellement, pénalités)."
Puis‑je obtenir une version numérique signée d’un relevé ?,Oui si le service le propose. La demande s’effectue via l’espace étudiant ou par e‑mail institutionnel. Un délai de traitement s’applique.
Procédure pour puis‑je obtenir une version numérique signée d’un relevé ?,Oui si le service le propose. La demande s’effectue via l’espace étudiant ou par e‑mail institutionnel. Un délai de traitement s’applique.
Quelles sont les étapes pour puis‑je obtenir une version numérique signée d’un relevé ?,Oui si le service le propose. La demande s’effectue via l’espace étudiant ou par e‑mail institutionnel. Un délai de traitement s’applique.
"Je veux puis‑je obtenir une version numérique signée d’un relevé, comment faire ?",Oui si le service le propose. La demande s’effectue via l’espace étudiant ou par e‑mail institutionnel. Un délai de traitement s’applique.
"Aide : puis‑je obtenir une version numérique signée d’un relevé, s'il vous plaît. ?",Oui si le service le propose. La demande s’effectue via l’espace étudiant ou par e‑mail institutionnel. Un délai de traitement s’applique.
Comment procéder pour puis‑je obtenir une version numérique signée d’un relevé ?,Oui si le service le propose. La demande s’effectue via l’espace étudiant ou par e‑mail institutionnel. Un délai de traitement s’applique.
Je n’ai pas reçu l’e‑mail d’activation. ?,"Vérifiez le dossier spam, attendez quelques minutes, puis redemandez l’activation. Assurez‑vous d’avoir saisi le bon e‑mail lors de l’inscription."
Procédure pour je n’ai pas reçu l’e‑mail d’activation ?,"Vérifiez le dossier spam, attendez quelques minutes, puis redemandez l’activation. Assurez‑vous d’avoir saisi le bon e‑mail lors de l’inscription."
Quelles sont les étapes pour je n’ai pas reçu l’e‑mail d’activation ?,"Vérifiez le dossier spam, attendez quelques minutes, puis redemandez l’activation. Assurez‑vous d’avoir saisi le bon e‑mail lors de l’inscription."
"Je veux je n’ai pas reçu l’e‑mail d’activation, comment faire ?","Vérifiez le dossier spam, attendez quelques minutes, puis redemandez l’activation. Assurez‑vous d’avoir saisi le bon e‑mail lors de l’inscription."
"Aide : je n’ai pas reçu l’e‑mail d’activation, s'il vous plaît. ?","Vérifiez le dossier spam, attendez quelques minutes, puis redemandez l’activation. Assurez‑vous d’avoir saisi le bon e‑mail lors de l’inscription."
Comment procéder pour je n’ai pas reçu l’e‑mail d’activation ?,"Vérifiez le dossier spam, attendez quelques minutes, puis redemandez l’activation. Assurez‑vous d’avoir saisi le bon e‑mail lors de l’inscription."
Comment mettre à jour mes informations personnelles ?,"Depuis votre espace étudiant : rubrique Profil > Modifier. Joignez des justificatifs si requis (changement d’adresse, numéro, etc.)."
Procédure pour comment mettre à jour mes informations personnelles ?,"Depuis votre espace étudiant : rubrique Profil > Modifier. Joignez des justificatifs si requis (changement d’adresse, numéro, etc.)."
Quelles sont les étapes pour comment mettre à jour mes informations personnelles ?,"Depuis votre espace étudiant : rubrique Profil > Modifier. Joignez des justificatifs si requis (changement d’adresse, numéro, etc.)."
"Je veux comment mettre à jour mes informations personnelles, comment faire ?","Depuis votre espace étudiant : rubrique Profil > Modifier. Joignez des justificatifs si requis (changement d’adresse, numéro, etc.)."
"Aide : comment mettre à jour mes informations personnelles, s'il vous plaît. ?","Depuis votre espace étudiant : rubrique Profil > Modifier. Joignez des justificatifs si requis (changement d’adresse, numéro, etc.)."
Comment procéder pour comment mettre à jour mes informations personnelles ?,"Depuis votre espace étudiant : rubrique Profil > Modifier. Joignez des justificatifs si requis (changement d’adresse, numéro, etc.)."
Comment ouvrir un ticket au support TIC ?,"Utilisez le formulaire helpdesk (ou e‑mail support). Décrivez le problème, joignez des captures et indiquez votre identifiant étudiant."
Procédure pour comment ouvrir un ticket au support tic ?,"Utilisez le formulaire helpdesk (ou e‑mail support). Décrivez le problème, joignez des captures et indiquez votre identifiant étudiant."
Quelles sont les étapes pour comment ouvrir un ticket au support tic ?,"Utilisez le formulaire helpdesk (ou e‑mail support). Décrivez le problème, joignez des captures et indiquez votre identifiant étudiant."
"Je veux comment ouvrir un ticket au support tic, comment faire ?","Utilisez le formulaire helpdesk (ou e‑mail support). Décrivez le problème, joignez des captures et indiquez votre identifiant étudiant."
"Aide : comment ouvrir un ticket au support tic, s'il vous plaît. ?","Utilisez le formulaire helpdesk (ou e‑mail support). Décrivez le problème, joignez des captures et indiquez votre identifiant étudiant."
Comment procéder pour comment ouvrir un ticket au support tic ?,"Utilisez le formulaire helpdesk (ou e‑mail support). Décrivez le problème, joignez des captures et indiquez votre identifiant étudiant."
Quelles sont les règles d’usage du réseau et des comptes ?,"Usage responsable, pas de partage d’identifiants, respect des lois en vigueur, pas de téléchargement illicite. L’établissement peut suspendre un compte en cas d’abus."
Procédure pour quelles sont les règles d’usage du réseau et des comptes ?,"Usage responsable, pas de partage d’identifiants, respect des lois en vigueur, pas de téléchargement illicite. L’établissement peut suspendre un compte en cas d’abus."
Quelles sont les étapes pour quelles sont les règles d’usage du réseau et des comptes ?,"Usage responsable, pas de partage d’identifiants, respect des lois en vigueur, pas de téléchargement illicite. L’établissement peut suspendre un compte en cas d’abus."
"Je veux quelles sont les règles d’usage du réseau et des comptes, comment faire ?","Usage responsable, pas de partage d’identifiants, respect des lois en vigueur, pas de téléchargement illicite. L’établissement peut suspendre un compte en cas d’abus."
"Aide : quelles sont les règles d’usage du réseau et des comptes, s'il vous plaît. ?","Usage responsable, pas de partage d’identifiants, respect des lois en vigueur, pas de téléchargement illicite. L’établissement peut suspendre un compte en cas d’abus."
Comment procéder pour quelles sont les règles d’usage du réseau et des comptes ?,"Usage responsable, pas de partage d’identifiants, respect des lois en vigueur, pas de téléchargement illicite. L’établissement peut suspendre un compte en cas d’abus."
Puis‑je contester une note ?,"Oui en respectant la procédure : requête motivée dans les délais, adressée à l’enseignant et au département. Les modalités sont précisées dans la note de service."
Procédure pour puis‑je contester une note ?,"Oui en respectant la procédure : requête motivée dans les délais, adressée à l’enseignant et au département. Les modalités sont précisées dans la note de service."
Quelles sont les étapes pour puis‑je contester une note ?,"Oui en respectant la procédure : requête motivée dans les délais, adressée à l’enseignant et au département. Les modalités sont précisées dans la note de service."
"Je veux puis‑je contester une note, comment faire ?","Oui en respectant la procédure : requête motivée dans les délais, adressée à l’enseignant et au département. Les modalités sont précisées dans la note de service."
"Aide : puis‑je contester une note, s'il vous plaît. ?","Oui en respectant la procédure : requête motivée dans les délais, adressée à l’enseignant et au département. Les modalités sont précisées dans la note de service."
Comment procéder pour puis‑je contester une note ?,"Oui en respectant la procédure : requête motivée dans les délais, adressée à l’enseignant et au département. Les modalités sont précisées dans la note de service."
Comment justifier une absence ?,"Déposez un justificatif (certificat, convocation…) au secrétariat dans les délais. L’enseignant décide des conditions de rattrapage."
Procédure pour comment justifier une absence ?,"Déposez un justificatif (certificat, convocation…) au secrétariat dans les délais. L’enseignant décide des conditions de rattrapage."
Quelles sont les étapes pour comment justifier une absence ?,"Déposez un justificatif (certificat, convocation…) au secrétariat dans les délais. L’enseignant décide des conditions de rattrapage."
"Je veux comment justifier une absence, comment faire ?","Déposez un justificatif (certificat, convocation…) au secrétariat dans les délais. L’enseignant décide des conditions de rattrapage."
"Aide : comment justifier une absence, s'il vous plaît. ?","Déposez un justificatif (certificat, convocation…) au secrétariat dans les délais. L’enseignant décide des conditions de rattrapage."
Comment procéder pour comment justifier une absence ?,"Déposez un justificatif (certificat, convocation…) au secrétariat dans les délais. L’enseignant décide des conditions de rattrapage."
